iter	MultiClass
0	1.018609657
1	0.9526458875
2	0.9015310165
3	0.8494953249
4	0.7943664536
5	0.7454900298
6	0.7108970278
7	0.6732376459
8	0.642201175
9	0.6133023694
10	0.5828650147
11	0.5609805216
12	0.5365370611
13	0.509326677
14	0.4894231836
15	0.4717399926
16	0.4543107456
17	0.4387075189
18	0.4233643621
19	0.4063471662
20	0.3904670503
21	0.3767788156
22	0.365482393
23	0.3539942157
24	0.3438378386
25	0.3353872263
26	0.3246584892
27	0.3161459177
28	0.3059920466
29	0.2975981474
30	0.2886962631
31	0.2817015705
32	0.2748508361
33	0.2682105109
34	0.2615181359
35	0.254654159
36	0.2494730898
37	0.242154772
38	0.2361604173
39	0.2308804959
40	0.2259965626
41	0.2206453857
42	0.2162527104
43	0.2108303142
44	0.205305995
45	0.2011013414
46	0.197443247
47	0.1942816202
48	0.1914871315
49	0.1876367665
50	0.1830131016
51	0.1793045555
52	0.1761284035
53	0.1725606612
54	0.1699102216
55	0.1669128526
56	0.1631376959
57	0.1597759062
58	0.1565620203
59	0.1532725281
60	0.1510612443
61	0.1484903022
62	0.145463802
63	0.1436487652
64	0.1406235055
65	0.1384947116
66	0.136413272
67	0.1339210923
68	0.131867162
69	0.1303626228
70	0.1286449043
71	0.1268637076
72	0.1244349743
73	0.1224292546
74	0.1206932803
75	0.1192444994
76	0.1174015942
77	0.1158330886
78	0.1143932027
79	0.1124834474
80	0.1106608911
81	0.1094757116
82	0.1078198973
83	0.106573804
84	0.1048102031
85	0.1034548651
86	0.1020550837
87	0.1002807372
88	0.09832383619
89	0.09697447498
90	0.09541182875
91	0.09404394488
92	0.09296794669
93	0.09186506549
94	0.09085671782
95	0.08942687928
96	0.08810851412
97	0.08726323213
98	0.08600721851
99	0.0846923161
100	0.08386297129
101	0.08284601781
102	0.08182654023
103	0.08099581156
104	0.07991888321
105	0.07896049112
106	0.07810298089
107	0.07705279906
108	0.07612855077
109	0.07508818885
110	0.07429519206
111	0.07332827484
112	0.07239803413
113	0.07139830823
114	0.07051043611
115	0.06983677462
116	0.06899323153
117	0.06802344826
118	0.06749079447
119	0.06685910405
120	0.06629876107
121	0.06550107913
122	0.0648661106
123	0.06410473053
124	0.06349026998
125	0.06293410977
126	0.06227298181
127	0.06159196925
128	0.06103398123
129	0.06024848244
130	0.05974301166
131	0.05915555298
132	0.05853823096
133	0.05792549003
134	0.05752809242
135	0.05695741802
136	0.05658773016
137	0.05598598677
138	0.05553323265
139	0.05501431012
140	0.05454599931
141	0.05413478146
142	0.05372527091
143	0.05318760509
144	0.05263978784
145	0.05216035626
146	0.05173072819
147	0.05122508403
148	0.05077105892
149	0.05009619894
150	0.04957285021
151	0.04917008781
152	0.04871961621
153	0.04834202426
154	0.04797241265
155	0.0476014459
156	0.04728640144
157	0.04691425811
158	0.0466038159
159	0.04617924749
160	0.0457718399
161	0.04544974808
162	0.04519949526
163	0.04490784855
164	0.04452273364
165	0.04419087671
166	0.0438232963
167	0.04353880284
168	0.0431715619
169	0.04293907514
170	0.0426256695
171	0.04222790336
172	0.04187922725
173	0.04159168039
174	0.04134797887
175	0.04095003885
176	0.04065388927
177	0.0403546362
178	0.03993150709
179	0.03970581732
180	0.03945184313
181	0.03917595454
182	0.0388520197
183	0.03857172717
184	0.03834637397
185	0.03806243186
186	0.03769506027
187	0.0373344369
188	0.03701149879
189	0.0367814922
190	0.03646003629
191	0.03630038974
192	0.03611668694
193	0.03592942383
194	0.03574603854
195	0.0355287335
196	0.03529428271
197	0.03507274403
198	0.03484313146
199	0.03470643944
200	0.03452659278
201	0.03430407418
202	0.03407103285
203	0.03386130759
204	0.03361231639
205	0.03344565442
206	0.03323243321
207	0.03300553138
208	0.03283312703
209	0.03261151496
210	0.03243022045
211	0.03226264418
212	0.03210757584
213	0.0319533922
214	0.03179759898
215	0.03161817809
216	0.03139552759
217	0.03123704529
218	0.03106427568
